generation,avg_survival,n1_weight_mag,n2_weight_mag
2701,43,5.9745,8.5861
2702,44,5.9643,8.5832
2703,44,5.9556,8.5807
2704,39,6.0450,8.4413
2705,39,6.0303,8.4404
2706,38,6.0283,8.4375
2707,40,6.0328,8.4351
2708,40,6.0353,8.4346
2709,44,5.9189,8.5048
2710,44,5.9064,8.5044
2711,45,5.8982,8.5040
2712,43,5.8923,8.5035
2713,44,5.8878,8.5028
2714,45,5.8756,8.2972
2715,44,5.8726,8.2943
2716,45,5.8728,8.2924
2717,45,5.8722,8.2913
2718,45,5.8712,8.2905
2719,44,5.9772,8.3666
2720,44,5.9792,8.3645
2721,44,5.9848,8.3620
2722,45,5.9891,8.3601
2723,44,5.9913,8.3588
